"";"Animal No._NA";"VO2(3)_[ml/h]";"VCO2(3)_[ml/h]";"RER_NA";"Datetime";"LightC_[%]";"Box_NA.x";"Datetime2";"hour";"minutes";"MeasPoint";"diff.sec";"running_total.sec";"running_total.hrs";"running_total.hrs.round";"timeintervalinmin";"running_total.hrs.halfhour";"HP";"HP2";"Animals";"Box_NA.y";"Weight..g."
"1";224;40;36;0,888;"06/03/2023 03:21";0;1;2023-03-06 03:21:00;3;21;428;900;407700;113,2;113;0,333333333333333;113,333333333333;229,38336;228,3936;"224";"1";"21.4"
"2";224;43;37;0,847;"05/03/2023 17:51";99;1;2023-03-05 17:51:00;17;51;392;900;373500;103,8;103;0,833333333333333;103,833333333333;243,646428;243,00203;"224";"1";"21.4"
"3";224;91;81;0,892;"05/03/2023 22:36";0;1;2023-03-05 22:36:00;22;36;410;900;390600;108,5;108;0,5;108,5;522,454296;520,11596;"224";"1";"21.4"
"4";224;82;78;0,953;"05/03/2023 18:36";0;1;2023-03-05 18:36:00;18;36;395;900;376200;104,5;104;0,5;104,5;479,126328;475,82878;"224";"1";"21.4"
"5";224;74;62;0,844;"04/03/2023 08:21";99;1;2023-03-04 08:21:00;8;21;266;900;252900;70,2;70;0,333333333333333;70,3333333333333;418,928208;417,87208;"224";"1";"21.4"
"6";224;51;54;1,075;"08/03/2023 14:21";99;1;2023-03-08 14:21:00;14;21;650;900;620100;172,2;172;0,333333333333333;172,333333333333;308,3715;304,83975;"224";"1";"21.4"
"7";224;16;56;3,399;"08/03/2023 18:36";0;1;2023-03-08 18:36:00;18;36;664;900;635400;176,5;176;0,5;176,5;158,766912;148,80912;"224";"1";"21.4"
"8";224;113;87;0,77;"01/03/2023 11:36";99;1;2023-03-01 11:36:00;11;36;7;900;5400;1,5;1;0,5;1,5;625,76688;626,1443;"224";"1";"21.4"
"9";224;11;40;3,582;"08/03/2023 17:21";99;1;2023-03-08 17:21:00;17;21;661;900;630900;175,2;175;0,333333333333333;175,333333333333;112,509936;105,18486;"224";"1";"21.4"
"10";224;102;82;0,808;"07/03/2023 19:21";0;1;2023-03-07 19:21:00;19;21;578;900;551700;153,2;153;0,333333333333333;153,333333333333;571,316688;570,73488;"224";"1";"21.4"
"11";224;69;55;0,8;"02/03/2023 11:06";99;1;2023-03-02 11:06:00;11;6;96;900;90000;25;25;0;25;385,5582;385,296;"224";"1";"21.4"
"12";224;107;97;0,908;"03/03/2023 18:51";0;1;2023-03-03 18:51:00;18;51;215;900;204300;56,8;56;0,833333333333333;56,8333333333333;617,170008;614,01308;"224";"1";"21.4"
"13";224;102;96;0,942;"02/03/2023 03:06";0;1;2023-03-02 03:06:00;3;6;65;1800;61200;17;17;0;17;594,114912;590,28012;"224";"1";"21.4"
"14";224;114;109;0,958;"02/03/2023 20:06";0;1;2023-03-02 20:06:00;20;6;129;1800;122400;34;34;0;34;667,053216;662,33316;"224";"1";"21.4"
"15";224;114;109;0,953;"03/03/2023 00:21";0;1;2023-03-03 00:21:00;0;21;145;1800;137700;38,2;38;0,333333333333333;38,3333333333333;666,102456;661,51806;"224";"1";"21.4"
"16";224;67;30;0,45;"08/03/2023 10:06";99;1;2023-03-08 10:06:00;10;6;634;900;604800;168;168;0;168;335,268;340,5945;"224";"1";"21.4"
"17";224;87;35;0,401;"08/03/2023 09:36";99;1;2023-03-08 09:36:00;9;36;632;900;603000;167,5;167;0,5;167,5;428,237316;436,16841;"224";"1";"21.4"
"18";224;128;102;0,798;"01/03/2023 11:06";99;1;2023-03-01 11:06:00;11;6;5;900;3600;1;1;0;1;714,811392;714,38592;"224";"1";"21.4"
"19";224;35;33;0,959;"08/03/2023 12:21";99;1;2023-03-08 12:21:00;12;21;642;900;612900;170,2;170;0,333333333333333;170,333333333333;204,85542;203,39795;"224";"1";"21.4"
"20";224;65;58;0,886;"05/03/2023 18:21";0;1;2023-03-05 18:21:00;18;21;394;900;375300;104,2;104;0,333333333333333;104,333333333333;372,53112;370,9537;"224";"1";"21.4"
"21";224;96;84;0,871;"02/03/2023 18:36";0;1;2023-03-02 18:36:00;18;36;124;900;117000;32,5;32;0,5;32,5;547,797888;545,81088;"224";"1";"21.4"
"22";224;30;27;0,901;"05/03/2023 13:36";99;1;2023-03-05 13:36:00;13;36;376;900;358200;99,5;99;0,5;99,5;172,68804;171,8529;"224";"1";"21.4"
"23";224;93;89;0,959;"03/03/2023 10:51";99;1;2023-03-03 10:51:00;10;51;185;900;175500;48,8;48;0,833333333333333;48,8333333333333;544,330116;540,45741;"224";"1";"21.4"
"24";224;61;51;0,843;"04/03/2023 12:36";99;1;2023-03-04 12:36:00;12;36;282;900;268200;74,5;74;0,5;74,5;345,230964;344,37489;"224";"1";"21.4"
"25";224;101;89;0,887;"05/03/2023 22:06";0;1;2023-03-05 22:06:00;22;6;408;900;388800;108;108;0;108;579,024516;576,54941;"224";"1";"21.4"
"26";224;78;83;1,068;"08/03/2023 21:51";0;1;2023-03-08 21:51:00;21;51;676;900;647100;179,8;179;0,833333333333333;179,833333333333;470,716272;465,44472;"224";"1";"21.4"
"27";224;49;39;0,809;"05/03/2023 07:51";99;1;2023-03-05 07:51:00;7;51;354;900;337500;93,8;93;0,833333333333333;93,8333333333333;274,537788;274,24663;"224";"1";"21.4"
"28";224;104;75;0,72;"01/03/2023 10:06";99;1;2023-03-01 10:06:00;10;6;1;0;0;0;0;0;0;567,25344;568,8384;"224";"1";"21.4"
"29";224;104;90;0,869;"04/03/2023 08:36";99;1;2023-03-04 08:36:00;8;36;267;900;253800;70,5;70;0,5;70,5;593,100768;590,99768;"224";"1";"21.4"
"30";224;95;87;0,916;"02/03/2023 08:21";99;1;2023-03-02 08:21:00;8;21;85;900;80100;22,2;22;0,333333333333333;22,3333333333333;549,22236;546,2386;"224";"1";"21.4"
"31";224;70;63;0,897;"05/03/2023 17:06";99;1;2023-03-05 17:06:00;17;6;389;900;370800;103;103;0;103;402,47172;400,5897;"224";"1";"21.4"
"32";224;54;42;0,778;"05/03/2023 14:06";99;1;2023-03-05 14:06:00;14;6;378;900;360000;100;100;0;100;299,759616;299,83716;"224";"1";"21.4"
"33";224;84;71;0,844;"04/03/2023 11:51";99;1;2023-03-04 11:51:00;11;51;279;900;265500;73,8;73;0,833333333333333;73,8333333333333;475,540128;474,34128;"224";"1";"21.4"
"34";224;23;29;1,217;"08/03/2023 13:06";99;1;2023-03-08 13:06:00;13;6;645;900;615600;171;171;0;171;144,517188;142,14713;"224";"1";"21.4"
"35";224;92;85;0,916;"02/03/2023 08:36";99;1;2023-03-02 08:36:00;8;36;86;900;81000;22,5;22;0,5;22,5;531,878496;528,98896;"224";"1";"21.4"
"36";224;61;52;0,867;"06/03/2023 15:21";99;1;2023-03-06 15:21:00;15;21;473;900;450900;125,2;125;0,333333333333333;125,333333333333;347,672916;346,46841;"224";"1";"21.4"
"37";224;66;55;0,824;"03/03/2023 14:36";99;1;2023-03-03 14:36:00;14;36;199;900;189000;52,5;52;0,5;52,5;371,436912;370,80912;"224";"1";"21.4"
"38";224;64;54;0,843;"05/03/2023 12:21";99;1;2023-03-05 12:21:00;12;21;371;900;353700;98,2;98;0,333333333333333;98,3333333333333;362,209536;361,31136;"224";"1";"21.4"
"39";224;43;38;0,891;"04/03/2023 16:51";99;1;2023-03-04 16:51:00;16;51;298;900;283500;78,8;78;0,833333333333333;78,8333333333333;246,802284;245,70759;"224";"1";"21.4"
"40";224;82;75;0,913;"05/03/2023 19:06";0;1;2023-03-05 19:06:00;19;6;397;900;378000;105;105;0;105;473,655288;471,13838;"224";"1";"21.4"
"41";224;48;43;0,897;"06/03/2023 11:21";99;1;2023-03-06 11:21:00;11;21;458;900;436500;121,2;121;0,333333333333333;121,333333333333;275,980608;274,69008;"224";"1";"21.4"
"42";224;53;47;0,879;"06/03/2023 15:36";99;1;2023-03-06 15:36:00;15;36;474;900;451800;125,5;125;0,5;125,5;303,137316;301,93941;"224";"1";"21.4"
"43";224;69;59;0,86;"04/03/2023 03:51";0;1;2023-03-04 03:51:00;3;51;249;900;236700;65,8;65;0,833333333333333;65,8333333333333;392,46372;391,2162;"224";"1";"21.4"
"44";224;74;58;0,781;"04/03/2023 07:36";99;1;2023-03-04 07:36:00;7;36;263;900;250200;69,5;69;0,5;69,5;411,151992;411,20542;"224";"1";"21.4"
"45";224;99;72;0,732;"01/03/2023 13:51";99;1;2023-03-01 13:51:00;13;51;16;900;13500;3,8;3;0,833333333333333;3,83333333333333;541,963224;543,18924;"224";"1";"21.4"
"46";224;66;56;0,856;"04/03/2023 10:36";99;1;2023-03-04 10:36:00;10;36;274;900;261000;72,5;72;0,5;72,5;374,959728;373,82928;"224";"1";"21.4"
"47";224;83;75;0,903;"04/03/2023 09:21";99;1;2023-03-04 09:21:00;9;21;270;900;256500;71,2;71;0,333333333333333;71,3333333333333;478,047132;475,69707;"224";"1";"21.4"
"48";224;43;37;0,86;"04/03/2023 16:36";99;1;2023-03-04 16:36:00;16;36;297;900;282600;78,5;78;0,5;78,5;244,57884;243,8014;"224";"1";"21.4"
"49";224;65;60;0,915;"05/03/2023 16:36";99;1;2023-03-05 16:36:00;16;36;387;900;369000;102,5;102;0,5;102,5;375,6753;373,64925;"224";"1";"21.4"
"50";224;82;32;0,39;"08/03/2023 09:51";99;1;2023-03-08 09:51:00;9;51;633;900;603900;167,8;167;0,833333333333333;167,833333333333;402,12144;409,8114;"224";"1";"21.4"
"51";224;43;37;0,873;"05/03/2023 14:51";99;1;2023-03-05 14:51:00;14;51;381;900;362700;100,8;100;0,833333333333333;100,833333333333;245,511252;244,60077;"224";"1";"21.4"
"52";224;87;82;0,946;"06/03/2023 01:06";0;1;2023-03-06 01:06:00;1;6;419;900;399600;111;111;0;111;507,325536;503,97186;"224";"1";"21.4"
"53";224;31;73;2,357;"08/03/2023 18:51";0;1;2023-03-08 18:51:00;18;51;665;900;636300;176,8;176;0,833333333333333;176,833333333333;253,731156;242,12581;"224";"1";"21.4"
"54";224;64;62;0,958;"04/03/2023 15:06";99;1;2023-03-04 15:06:00;15;6;291;900;277200;77;77;0;77;374,486016;371,83616;"224";"1";"21.4"
"55";224;119;116;0,975;"03/03/2023 23:06";0;1;2023-03-03 23:06:00;23;6;231;900;219600;61;61;0;61;699,6843;694,27575;"224";"1";"21.4"
"56";224;66;54;0,822;"04/03/2023 08:06";99;1;2023-03-04 08:06:00;8;6;265;900;252000;70;70;0;70;371,216736;370,62036;"224";"1";"21.4"
"57";224;41;34;0,847;"06/03/2023 03:36";0;1;2023-03-06 03:36:00;3;36;429;900;408600;113,5;113;0,5;113,5;232,314036;231,69961;"224";"1";"21.4"
"58";224;27;25;0,931;"07/03/2023 15:36";99;1;2023-03-07 15:36:00;15;36;564;900;538200;149,5;149;0,5;149,5;156,770316;155,82591;"224";"1";"21.4"
"59";224;70;63;0,898;"04/03/2023 14:51";99;1;2023-03-04 14:51:00;14;51;290;900;276300;76,8;76;0,833333333333333;76,8333333333333;402,58848;400,6898;"224";"1";"21.4"
"60";224;64;63;0,989;"01/03/2023 22:51";0;1;2023-03-01 22:51:00;22;51;49;1800;45900;12,8;12;0,833333333333333;12,8333333333333;377,795328;374,67328;"224";"1";"21.4"
"61";224;66;57;0,875;"04/03/2023 15:21";99;1;2023-03-04 15:21:00;15;21;292;900;278100;77,2;77;0,333333333333333;77,3333333333333;377,0514;375,6225;"224";"1";"21.4"
"62";224;71;47;0,66;"09/03/2023 01:06";0;1;2023-03-09 01:06:00;1;6;688;900;658800;183;183;0;183;380,15388;382,2498;"224";"1";"21.4"
"63";224;83;83;1,003;"04/03/2023 20:51";0;1;2023-03-04 20:51:00;20;51;313;900;297900;82,8;82;0,833333333333333;82,8333333333333;491,891532;487,56607;"224";"1";"21.4"
"64";224;90;84;0,938;"04/03/2023 19:06";0;1;2023-03-04 19:06:00;19;6;306;900;291600;81;81;0;81;523,61856;520,3206;"224";"1";"21.4"
"65";224;74;73;0,986;"06/03/2023 01:36";0;1;2023-03-06 01:36:00;1;36;421;900;401400;111,5;111;0,5;111,5;436,455552;432,89852;"224";"1";"21.4"
"66";224;113;102;0,904;"03/03/2023 19:21";0;1;2023-03-03 19:21:00;19;21;217;900;206100;57,2;57;0,333333333333333;57,3333333333333;651,023736;647,79736;"224";"1";"21.4"
"67";224;60;56;0,935;"06/03/2023 07:36";99;1;2023-03-06 07:36:00;7;36;444;900;423000;117,5;117;0,5;117,5;348,7788;346,623;"224";"1";"21.4"
"68";224;58;51;0,871;"06/03/2023 02:21";0;1;2023-03-06 02:21:00;2;21;424;900;404100;112,2;112;0,333333333333333;112,333333333333;330,961224;329,76074;"224";"1";"21.4"
"69";224;30;26;0,856;"05/03/2023 13:51";99;1;2023-03-05 13:51:00;13;51;377;900;359100;99,8;99;0,833333333333333;99,8333333333333;170,43624;169,9224;"224";"1";"21.4"
"70";224;89;84;0,939;"05/03/2023 22:51";0;1;2023-03-05 22:51:00;22;51;411;900;391500;108,8;108;0,833333333333333;108,833333333333;517,949028;514,66653;"224";"1";"21.4"
"71";224;77;72;0,938;"04/03/2023 03:21";0;1;2023-03-04 03:21:00;3;21;247;900;234900;65,2;65;0,333333333333333;65,3333333333333;447,984768;445,16318;"224";"1";"21.4"
"72";224;82;77;0,939;"05/03/2023 18:51";0;1;2023-03-05 18:51:00;18;51;396;900;377100;104,8;104;0,833333333333333;104,833333333333;477,211464;474,18714;"224";"1";"21.4"
"73";224;67;64;0,957;"06/03/2023 07:51";99;1;2023-03-06 07:51:00;7;51;445;900;423900;117,8;117;0,833333333333333;117,833333333333;391,928292;389,17017;"224";"1";"21.4"
"74";224;36;39;1,075;"08/03/2023 14:51";99;1;2023-03-08 14:51:00;14;51;652;900;621900;172,8;172;0,833333333333333;172,833333333333;217,674;215,181;"224";"1";"21.4"
"75";224;107;98;0,914;"03/03/2023 00:36";0;1;2023-03-03 00:36:00;0;36;146;900;138600;38,5;38;0,5;38,5;618,240864;614,93114;"224";"1";"21.4"
"76";224;95;87;0,926;"05/03/2023 21:21";0;1;2023-03-05 21:21:00;21;21;405;900;386100;107,2;107;0,333333333333333;107,333333333333;550,80696;547,5971;"224";"1";"21.4"
"77";224;73;65;0,895;"04/03/2023 03:36";0;1;2023-03-04 03:36:00;3;36;248;900;235800;65,5;65;0,5;65,5;419,47698;417,54905;"224";"1";"21.4"
"78";224;113;91;0,804;"01/03/2023 12:51";99;1;2023-03-01 12:51:00;12;51;12;900;9900;2,8;2;0,833333333333333;2,83333333333333;632,175336;631,63836;"224";"1";"21.4"
"79";224;45;42;0,945;"06/03/2023 02:51";0;1;2023-03-06 02:51:00;2;51;426;900;405900;112,8;112;0,833333333333333;112,833333333333;262,3347;260,61075;"224";"1";"21.4"
"80";224;66;54;0,82;"04/03/2023 10:51";99;1;2023-03-04 10:51:00;10;51;275;900;261900;72,8;72;0,833333333333333;72,8333333333333;370,99656;370,4316;"224";"1";"21.4"
"81";224;43;35;0,821;"05/03/2023 18:06";0;1;2023-03-05 18:06:00;18;6;393;900;374400;104;104;0;104;241,781604;241,40329;"224";"1";"21.4"
"82";224;95;88;0,923;"05/03/2023 23:21";0;1;2023-03-05 23:21:00;23;21;413;900;393300;109,2;109;0,333333333333333;109,333333333333;550,33158;547,18955;"224";"1";"21.4"
"83";224;102;97;0,951;"03/03/2023 20:36";0;1;2023-03-03 20:36:00;20;36;222;900;210600;58,5;58;0,5;58,5;595,646136;591,59286;"224";"1";"21.4"
"84";224;64;74;1,155;"08/03/2023 22:36";0;1;2023-03-08 22:36:00;22;36;679;900;649800;180,5;180;0,5;180,5;395,51616;389,8656;"224";"1";"21.4"
"85";224;106;104;0,99;"03/03/2023 04:36";0;1;2023-03-03 04:36:00;4;36;161;1800;153000;42,5;42;0,5;42,5;625,90032;620,7042;"224";"1";"21.4"
"86";224;60;53;0,883;"08/03/2023 20:51";0;1;2023-03-08 20:51:00;20;51;672;900;643500;178,8;178;0,833333333333333;178,833333333333;343,57464;342,1614;"224";"1";"21.4"
"87";224;107;99;0,927;"03/03/2023 19:06";0;1;2023-03-03 19:06:00;19;6;216;900;205200;57;57;0;57;620,561052;616,92027;"224";"1";"21.4"
"88";224;94;67;0,711;"09/03/2023 02:21";0;1;2023-03-09 02:21:00;2;21;693;900;663300;184,2;184;0,333333333333333;184,333333333333;511,298712;512,93262;"224";"1";"21.4"
"89";224;73;62;0,84;"04/03/2023 04:06";0;1;2023-03-04 04:06:00;4;6;250;900;237600;66;66;0;66;412,77996;411,8076;"224";"1";"21.4"
"90";224;102;96;0,945;"03/03/2023 04:51";0;1;2023-03-03 04:51:00;4;51;162;900;153900;42,8;42;0,833333333333333;42,8333333333333;594,62532;590,7177;"224";"1";"21.4"
"91";224;67;65;0,976;"08/03/2023 21:06";0;1;2023-03-08 21:06:00;21;6;673;900;644400;179;179;0;179;394,051656;390,99056;"224";"1";"21.4"
"92";224;89;87;0,974;"04/03/2023 23:51";0;1;2023-03-04 23:51:00;23;51;324;900;308700;85,8;85;0,833333333333333;85,8333333333333;523,144848;519,12098;"224";"1";"21.4"
"93";224;84;79;0,939;"07/03/2023 00:51";0;1;2023-03-07 00:51:00;0;51;509;900;485100;134,8;134;0,833333333333333;134,833333333333;488,850768;485,75268;"224";"1";"21.4"
"94";224;68;62;0,912;"03/03/2023 17:36";99;1;2023-03-03 17:36:00;17;36;210;900;199800;55,5;55;0,5;55,5;392,673888;390,60288;"224";"1";"21.4"
"95";224;66;56;0,846;"04/03/2023 04:21";0;1;2023-03-04 04:21:00;4;21;251;900;238500;66,2;66;0,333333333333333;66,3333333333333;373,858848;372,88548;"224";"1";"21.4"
"96";224;84;79;0,936;"06/03/2023 05:21";0;1;2023-03-06 05:21:00;5;21;435;900;414900;115,2;115;0,333333333333333;115,333333333333;488,430432;485,39232;"224";"1";"21.4"
"97";224;36;28;0,79;"05/03/2023 13:21";99;1;2023-03-05 13:21:00;13;21;375;900;357300;99,2;99;0,333333333333333;99,3333333333333;200,56032;200,5092;"224";"1";"21.4"
"98";224;108;99;0,915;"02/03/2023 07:36";99;1;2023-03-02 07:36:00;7;36;82;900;77400;21,5;21;0,5;21,5;624,19896;620,8326;"224";"1";"21.4"
"99";224;38;33;0,871;"04/03/2023 17:06";99;1;2023-03-04 17:06:00;17;6;299;900;284400;79;79;0;79;216,836664;216,05014;"224";"1";"21.4"
"100";224;97;89;0,919;"04/03/2023 06:21";99;1;2023-03-04 06:21:00;6;21;258;900;245700;68,2;68;0,333333333333333;68,3333333333333;561,270324;558,15449;"224";"1";"21.4"
"101";224;73;65;0,895;"03/03/2023 08:51";99;1;2023-03-03 08:51:00;8;51;177;1800;168300;46,8;46;0,833333333333333;46,8333333333333;419,47698;417,54905;"224";"1";"21.4"
"102";224;40;37;0,94;"06/03/2023 09:06";99;1;2023-03-06 09:06:00;9;6;449;1800;428400;119;119;0;119;232,8528;231,368;"224";"1";"21.4"
"103";224;48;41;0,857;"04/03/2023 13:36";99;1;2023-03-04 13:36:00;13;36;286;900;271800;75,5;75;0,5;75,5;272,778048;271,94448;"224";"1";"21.4"
"104";224;61;27;0,45;"08/03/2023 10:21";99;1;2023-03-08 10:21:00;10;21;635;900;605700;168,2;168;0,333333333333333;168,333333333333;305,244;310,0935;"224";"1";"21.4"
"105";224;72;70;0,973;"06/03/2023 05:51";0;1;2023-03-06 05:51:00;5;51;437;900;416700;115,8;115;0,833333333333333;115,833333333333;423,098208;419,86008;"224";"1";"21.4"
"106";224;84;68;0,806;"03/03/2023 16:21";99;1;2023-03-03 16:21:00;16;21;206;900;195300;54,2;54;0,333333333333333;54,3333333333333;470,215872;469,77672;"224";"1";"21.4"
"107";224;104;100;0,96;"02/03/2023 02:36";0;1;2023-03-02 02:36:00;2;36;64;900;59400;16,5;16;0,5;16,5;608,88672;604,5312;"224";"1";"21.4"
"108";224;95;87;0,924;"02/03/2023 08:06";99;1;2023-03-02 08:06:00;8;6;84;900;79200;22;22;0;22;550,49004;547,3254;"224";"1";"21.4"
"109";224;46;27;0,586;"08/03/2023 10:36";99;1;2023-03-08 10:36:00;10;36;636;900;606600;168,5;168;0,5;168,5;240,619008;242,78708;"224";"1";"21.4"
"110";224;123;120;0,97;"03/03/2023 21:51";0;1;2023-03-03 21:51:00;21;51;226;900;215100;59,8;59;0,833333333333333;59,8333333333333;722,17728;716,7333;"224";"1";"21.4"
"111";224;36;30;0,839;"05/03/2023 09:51";99;1;2023-03-05 09:51:00;9;51;362;900;344700;95,8;95;0,833333333333333;95,8333333333333;203,502672;203,03172;"224";"1";"21.4"
"112";224;73;66;0,91;"04/03/2023 12:21";99;1;2023-03-04 12:21:00;12;21;281;900;267300;74,2;74;0,333333333333333;74,3333333333333;421,30344;419,1149;"224";"1";"21.4"
"113";224;42;39;0,92;"05/03/2023 17:36";99;1;2023-03-05 17:36:00;17;36;391;900;372600;103,5;103;0,5;103,5;243,09432;241,7352;"224";"1";"21.4"
"114";224;56;45;0,796;"08/03/2023 10:51";99;1;2023-03-08 10:51:00;10;51;637;900;607500;168,8;168;0,833333333333333;168,833333333333;312,543168;312,38368;"224";"1";"21.4"
"115";224;82;80;0,974;"04/03/2023 21:21";0;1;2023-03-04 21:21:00;21;21;315;900;299700;83,2;83;0,333333333333333;83,3333333333333;481,998624;478,29124;"224";"1";"21.4"
"116";224;90;83;0,926;"05/03/2023 23:06";0;1;2023-03-05 23:06:00;23;6;412;900;392400;109;109;0;109;521,81712;518,7762;"224";"1";"21.4"
"117";224;106;104;0,982;"02/03/2023 22:51";0;1;2023-03-02 22:51:00;22;51;140;900;132300;36,8;36;0,833333333333333;36,8333333333333;624,485856;619,49156;"224";"1";"21.4"
"118";224;59;58;0,972;"04/03/2023 17:51";99;1;2023-03-04 17:51:00;17;51;302;900;287100;79,8;79;0,833333333333333;79,8333333333333;346,607064;343,96764;"224";"1";"21.4"
"119";224;74;59;0,799;"08/03/2023 11:06";99;1;2023-03-08 11:06:00;11;6;638;900;608400;169;169;0;169;413,373768;413,11018;"224";"1";"21.4"
"120";224;89;87;0,98;"04/03/2023 23:21";0;1;2023-03-04 23:21:00;23;21;322;900;306900;85,2;85;0,333333333333333;85,3333333333333;524,03556;519,8846;"224";"1";"21.4"
"121";224;48;42;0,882;"05/03/2023 12:36";99;1;2023-03-05 12:36:00;12;36;372;900;354600;98,5;98;0,5;98,5;274,779648;273,66048;"224";"1";"21.4"
"122";224;43;37;0,853;"04/03/2023 16:21";99;1;2023-03-04 16:21:00;16;21;296;900;281700;78,2;78;0,333333333333333;78,3333333333333;244,076772;243,37097;"224";"1";"21.4"
"123";224;105;98;0,932;"03/03/2023 00:51";0;1;2023-03-03 00:51:00;0;51;147;900;139500;38,8;38;0,833333333333333;38,8333333333333;609,83748;606,1398;"224";"1";"21.4"
"124";224;83;74;0,896;"02/03/2023 08:51";99;1;2023-03-02 08:51:00;8;51;87;900;81900;22,8;22;0,833333333333333;22,8333333333333;477,078024;474,86624;"224";"1";"21.4"
"125";224;56;45;0,801;"04/03/2023 12:51";99;1;2023-03-04 12:51:00;12;51;283;900;269100;74,8;74;0,833333333333333;74,8333333333333;313,010208;312,78408;"224";"1";"21.4"
"126";224;67;53;0,795;"04/03/2023 11:06";99;1;2023-03-04 11:06:00;11;6;276;900;262800;73;73;0;73;373,82382;373,64895;"224";"1";"21.4"
"127";224;90;83;0,932;"07/03/2023 00:36";0;1;2023-03-07 00:36:00;0;36;508;900;484200;134,5;134;0,5;134,5;522,71784;519,5484;"224";"1";"21.4"
"128";224;73;65;0,887;"03/03/2023 11:51";99;1;2023-03-03 11:51:00;11;51;189;900;179100;49,8;49;0,833333333333333;49,8333333333333;418,502868;416,71393;"224";"1";"21.4"
"129";224;112;105;0,94;"03/03/2023 01:06";0;1;2023-03-03 01:06:00;1;6;148;900;140400;39;39;0;39;651,98784;647,8304;"224";"1";"21.4"
"130";224;66;55;0,828;"04/03/2023 07:51";99;1;2023-03-04 07:51:00;7;51;264;900;251100;69,8;69;0,833333333333333;69,8333333333333;371,877264;371,18664;"224";"1";"21.4"
"131";224;101;96;0,945;"04/03/2023 02:21";0;1;2023-03-04 02:21:00;2;21;243;900;231300;64,2;64;0,333333333333333;64,3333333333333;588,79566;584,92635;"224";"1";"21.4"
"132";224;77;74;0,972;"01/03/2023 22:21";0;1;2023-03-01 22:21:00;22;21;48;900;44100;12,2;12;0,333333333333333;12,3333333333333;452,351592;448,90692;"224";"1";"21.4"
"133";224;38;31;0,814;"06/03/2023 10:36";99;1;2023-03-06 10:36:00;10;36;455;900;433800;120,5;120;0,5;120,5;213,223776;212,95276;"224";"1";"21.4"
"134";224;38;33;0,854;"06/03/2023 07:06";99;1;2023-03-06 07:06:00;7;6;442;900;421200;117;117;0;117;215,759136;215,12636;"224";"1";"21.4"
"135";224;90;81;0,897;"05/03/2023 23:51";0;1;2023-03-05 23:51:00;23;51;415;900;395100;109,8;109;0,833333333333333;109,833333333333;517,46364;515,0439;"224";"1";"21.4"
"136";224;72;56;0,776;"02/03/2023 13:06";99;1;2023-03-02 13:06:00;13;6;103;900;97200;27;27;0;27;399,439296;399,57696;"224";"1";"21.4"
"137";224;89;61;0,685;"09/03/2023 00:51";0;1;2023-03-09 00:51:00;0;51;687;1800;657900;182,8;182;0,833333333333333;182,833333333333;480,24222;482,33995;"224";"1";"21.4"
"138";224;37;36;0,961;"07/03/2023 02:51";0;1;2023-03-07 02:51:00;2;51;516;900;492300;136,8;136;0,833333333333333;136,833333333333;216,684876;215,12651;"224";"1";"21.4"
"139";224;85;78;0,912;"07/03/2023 01:06";0;1;2023-03-07 01:06:00;1;6;510;900;486000;135;135;0;135;490,84236;488,2536;"224";"1";"21.4"
"140";224;77;49;0,641;"09/03/2023 02:51";0;1;2023-03-09 02:51:00;2;51;695;900;665100;184,8;184;0,833333333333333;184,833333333333;409,839276;412,46051;"224";"1";"21.4"
"141";224;61;50;0,808;"03/03/2023 16:06";99;1;2023-03-03 16:06:00;16;6;205;900;194400;54;54;0;54;341,669784;341,32184;"224";"1";"21.4"
"142";224;107;102;0,959;"02/03/2023 20:21";0;1;2023-03-02 20:21:00;20;21;130;900;123300;34,2;34;0,333333333333333;34,3333333333333;626,272284;621,81659;"224";"1";"21.4"
"143";224;111;109;0,981;"03/03/2023 23:21";0;1;2023-03-03 23:21:00;23;21;232;900;220500;61,2;61;0,333333333333333;61,3333333333333;653,757588;648,55413;"224";"1";"21.4"
"144";224;78;70;0,899;"03/03/2023 01:51";0;1;2023-03-03 01:51:00;1;51;151;900;143100;39,8;39;0,833333333333333;39,8333333333333;448,728696;446,59446;"224";"1";"21.4"
"145";224;77;72;0,929;"05/03/2023 20:51";0;1;2023-03-05 20:51:00;20;51;403;900;384300;106,8;106;0,833333333333333;106,833333333333;446,828844;444,17219;"224";"1";"21.4"
"146";224;83;73;0,876;"04/03/2023 12:06";99;1;2023-03-04 12:06:00;12;6;280;900;266400;74;74;0;74;474,309144;472,49244;"224";"1";"21.4"
"147";224;65;58;0,882;"03/03/2023 07:21";99;1;2023-03-03 07:21:00;7;21;172;900;162900;45,2;45;0,333333333333333;45,3333333333333;372,09744;370,5819;"224";"1";"21.4"
"148";224;120;108;0,896;"02/03/2023 20:36";0;1;2023-03-02 20:36:00;20;36;131;900;124200;34,5;34;0,5;34,5;689,75136;686,5536;"224";"1";"21.4"
"149";224;101;100;0,99;"03/03/2023 23:36";0;1;2023-03-03 23:36:00;23;36;233;900;221400;61,5;61;0,5;61,5;596,37672;591,4257;"224";"1";"21.4"
"150";224;79;67;0,845;"03/03/2023 02:06";0;1;2023-03-03 02:06:00;2;6;152;900;144000;40;40;0;40;447,36594;446,21965;"224";"1";"21.4"
